px1,py1,pz1,E1,px2,py2,pz2,E2
62.8175,39.0581,74.0695,104.68,-43.0991,-41.1041,165.072,175.488
-38.3116,-26.0509,-22.4488,51.4819,38.4226,25.7309,-13.4951,48.1716
126.957,49.6876,10.2092,136.716,-69.4126,-35.1068,36.2398,85.8134
47.3915,13.4696,28.2584,56.7973,-45.2057,14.1189,-8.08176,48.044
-0.54982,7.51814,11.5926,13.8284,1.57543,-5.40854,-3.22074,6.48989
-37.792,-24.0059,44.8088,63.3432,32.9255,29.4572,36.6161,57.3809
0.732957,20.2788,-39.3569,44.2803,10.395,-5.04578,-2.09104,11.743
-8.64185,-20.17,40.048,45.6658,-12.1284,-13.1212,23.0404,29.157
-0.452516,17.1552,-11.978,20.9282,-2.91988,11.9319,-8.79421,15.1078
-3.92657,41.6495,110.759,118.396,-17.2667,-35.0686,30.8688,49.808
0.88827,-51.985,4.80177,52.2139,-8.18196,38.0293,-5.82778,39.3338
28.347,-24.9589,-206.331,209.76,-20.8961,24.2888,-25.8983,41.1986
-43.171,24.6627,-71.7763,87.3145,28.387,-27.7092,-101.276,108.768
-5.51656,21.7147,65.2783,69.0161,-18.2446,-12.8939,-26.6184,34.7515
-22.9452,0.840448,-83.043,86.1588,11.6158,1.43349,45.0347,46.5309
-12.8832,-16.1017,21.4367,29.7454,-5.72525,-7.05614,7.89482,12.0377
-14.6538,-12.4703,88.0393,90.1175,-4.57424,-13.8451,33.5379,36.5707
1.24594,-24.998,35.0283,43.0517,-0.61207,6.34311,8.91311,10.9574
30.3281,49.4073,-104.456,119.465,-11.9137,-31.0644,-65.5099,73.4744
13.5938,-25.0578,69.4335,75.058,0.914733,-18.8148,6.68518,19.9884
9.8322,-15.9825,4.47426,19.291,-6.95062,14.5443,42.7006,45.6421
15.1374,9.42737,-85.5147,87.3544,12.5368,5.61119,-66.2931,67.7012
-173.019,43.2787,-63.5962,189.35,-10.1134,-3.77125,20.3996,23.0793
33.5272,4.56358,-42.9606,54.6857,12.3107,0.073531,-14.0516,18.682
26.8322,-32.612,66.2218,78.5421,11.417,-15.1324,26.4101,32.5091
22.3205,-34.604,-13.7712,43.42,10.2398,-16.5004,-5.70431,20.2403
2.40869,36.3552,-159.127,163.245,-32.7805,8.62615,-36.9411,50.1361
15.466,10.0377,-12.8608,22.4803,11.0924,-0.126588,-13.0785,17.1498
-17.4376,16.598,-42.1311,48.5243,-13.1149,12.7672,-32.2119,37.0489
2.5485,19.0057,-7.21665,20.4891,9.42604,-12.8324,-50.086,52.5561
22.926,41.7962,16.216,50.3537,-8.95179,-37.3302,30.9511,49.3119
15.9965,44.5513,-64.7673,80.2217,10.1255,-40.2287,-17.1829,44.9014
-18.3834,-5.44737,-16.6493,25.3936,-11.5821,2.64598,2.633,12.1692
22.1643,60.1996,264.598,272.263,-20.0976,-42.3733,85.0212,97.098
15.3901,-37.0147,9.91708,41.2954,25.3611,30.2552,-25.62,47.0634
34.3568,-4.47056,19.1728,39.5978,-2.27914,-2.26248,11.5856,12.0229
-3.76159,-50.7539,29.4555,58.8026,-6.45763,29.0476,-16.3549,33.9552
5.47786,-16.3525,-40.2507,43.7898,4.5168,0.400302,-5.37862,7.0358
30.9326,-20.1026,-9.61202,38.1228,10.1866,-8.82225,-3.70872,13.9773
45.2098,-9.74396,-1.84233,46.2848,-19.0248,4.49318,72.2024,74.802
13.9176,25.3583,-2.95355,29.0771,-14.2048,-20.4998,103.337,106.304
-8.44004,43.6682,6.39715,44.9342,7.98601,14.8677,-0.454833,16.8832
-13.6633,29.1005,65.3902,72.8657,8.56246,0.181079,37.7051,38.6657
-14.8953,-18.5052,-23.2851,33.2644,1.16517,8.72168,38.3335,39.3306
15.8998,11.4685,-7.15208,20.8685,7.06825,5.10488,-3.71828,9.47928
30.5797,-18.9051,-2.8611,36.0655,-10.4823,-13.9889,-40.875,44.4561
19.618,-6.59051,5.1602,21.3293,-8.24711,7.61542,2.29133,11.4573
-9.40259,-25.8679,9.3679,29.0745,-3.84305,-15.8722,5.60149,17.2651
-23.2543,-19.0757,-0.443125,30.0807,-13.5309,-13.1464,1.59293,18.9331
34.9251,40.0197,14.7898,55.137,-40.3133,-4.46642,65.03,76.6422
-26.0974,10.7314,-90.3676,94.6707,-5.21802,1.2971,-18.6211,19.3821
-22.7628,-29.4384,-75.7726,84.4172,-1.74732,-9.48733,-24.9993,26.7963
-16.1205,31.4515,26.2361,44.016,2.99948,-1.49393,-3.98361,5.20664
17.5133,8.10048,1.7599,19.3763,-13.494,-12.1825,27.779,33.1992
-38.8389,15.6392,-25.4571,49.0012,32.5882,-24.0606,19.2577,44.8528
-25.7674,39.4904,-122.772,131.516,6.47585,-38.3621,-190.319,194.255
-47.4929,19.2587,-29.2647,59.0162,37.3433,-4.70164,-16.3788,41.0476
54.645,10.634,-34.518,65.5031,-24.8678,-22.1008,-3.34697,33.4375
-2.29873,-20.2046,-88.8556,91.1529,2.50738,8.26856,-16.3615,18.5031
-24.4267,-49.9178,-51.6878,75.8953,11.6462,37.2242,-39.4884,55.5033
-10.8291,26.4441,13.4942,31.6017,4.26761,-18.722,-14.1381,23.8458
6.79881,18.8771,12.6255,23.7062,2.5811,10.9166,7.24879,13.3563
-27.4407,10.3089,22.4777,36.9395,9.16857,-4.75668,-14.8053,18.0526
-5.85207,-17.583,-8.2149,20.2708,-3.49299,1.82704,0.593854,3.98784
39.0701,-27.4981,29.933,56.3792,17.8848,-14.6458,13.4084,26.7238
2.95171,-9.96108,12.93,16.5871,-4.2581,-0.364701,0.455971,4.29925
38.3743,32.1752,-166.002,173.392,-34.0538,-29.3252,-143.078,149.97
23.3323,36.3965,91.3869,101.097,-0.579583,-32.5086,93.7592,99.2368
-91.1312,6.90952,-8.88323,91.8236,10.7077,-12.4864,27.1935,31.7815
0.685826,-22.1153,-5.35488,22.765,5.63692,-4.10474,16.9165,18.2977
26.1895,29.8918,-206.483,210.273,-28.7428,-17.4986,-55.8699,65.2212
2.80047,-9.05172,-13.7762,16.7204,0.651167,-3.43676,-5.54873,6.5601
5.81862,-36.7615,-5.42333,37.6123,-12.148,21.458,71.5851,75.713
-5.51136,29.5199,15.9343,33.9958,-1.79982,8.95942,5.97306,10.9178
21.2736,-5.58167,-113.083,115.202,15.8494,-4.3306,-78.9068,80.5994
-27.6101,26.0504,40.9114,55.8095,-6.35305,5.64615,9.50705,12.7529
-20.1706,-38.3787,109.133,117.43,13.8252,37.2133,34.2351,52.4215
-12.164,14.7839,-5.91165,20.0371,-7.59192,13.9778,-4.80305,16.6161
-1.36388,-22.0512,-49.9302,54.6,-2.38484,-11.0584,-29.2163,31.3301
-24.0832,-12.8678,61.5283,67.3151,2.80593,1.51249,13.7002,14.0665
13.963,32.7005,76.7165,84.556,-3.86345,-19.5282,17.2249,26.3247
77.8383,-0.905973,-101.873,128.21,-4.81679,-0.562253,-1.00196,4.95305
-10.4496,-13.9311,57.4335,60.0158,-4.67009,-6.56698,26.2389,27.4486
-44.1191,3.97413,-133.67,140.818,31.731,-27.4065,-48.2925,63.9543
-3.28811,-38.2746,-59.1463,70.5269,0.728583,30.4517,12.4884,32.9212
-37.9786,-41.737,-21.0604,60.2321,9.9083,2.81743,4.5479,11.2609
8.48343,52.5175,90.1515,104.677,25.5066,-26.3037,14.1457,39.2757
4.46927,40.7922,40.084,57.3648,-20.2265,-31.3991,198.741,202.22
41.9937,3.6029,102.493,110.821,-40.243,7.2082,18.756,44.9806
16.5052,49.5119,96.2895,109.524,-7.91612,-39.456,23.5241,46.6137
2.68809,57.9136,71.1868,91.8084,1.19543,42.2064,55.1894,69.4888
-32.9177,37.294,45.4805,67.4011,26.9022,-27.1862,11.2639,39.8711
-19.2653,6.01703,-2.46181,20.3329,7.51059,-2.96325,-26.425,27.6311
-19.4304,21.7127,0.108816,29.1377,-7.27524,9.66961,-0.871349,12.1326
-23.0229,40.7136,73.4481,87.0763,23.6311,-33.8651,37.2792,55.633
-14.4863,7.60424,-45.6654,48.5079,-8.02755,6.98832,-28.4667,30.3915
-19.1997,4.43562,-10.9404,22.539,-9.89626,-4.98704,-6.60052,12.899
0.719725,5.24108,2.51002,5.85648,-3.52976,-1.77012,-11.4933,12.1531
25.4923,-31.4266,6.22108,40.9415,-30.6525,20.1713,-47.8297,60.2839
-6.2229,-29.6265,56.2725,63.8988,6.28941,15.4556,-30.8197,35.0471
-18.1291,24.5166,37.7466,48.5237,4.19136,-6.92254,2.50971,8.47342
-12.3335,2.53388,2.36569,12.8118,-4.08145,-4.03976,1.38856,5.90907
-25.8898,-33.314,67.3152,79.4446,-6.51224,7.34181,25.2594,27.0991
43.4767,-20.7606,-47.1022,67.3784,-42.0583,6.73051,-65.2166,77.8937
-15.8891,-35.7982,33.3603,51.448,8.74353,27.1991,-27.1321,39.4005
7.5828,40.3982,-64.9022,76.8233,7.89825,-7.79674,-25.1689,27.5074
3.91026,10.3929,-33.7146,35.4963,1.22423,5.66348,-12.8659,14.1108
9.41913,2.71317,9.14612,13.4069,4.72905,0.557395,3.64847,5.99976
-14.8607,21.8771,-45.6882,52.7908,0.439692,-7.78879,-0.10608,7.80263
40.1012,38.9149,-18.2387,58.7804,-24.4362,-28.7426,-25.8334,45.7235
-5.4766,6.47372,-6.02351,10.4017,-5.11566,4.46218,-4.55326,8.17462
-19.2596,-10.194,36.9803,42.9232,8.98384,6.01315,27.6503,29.6887
13.7892,-24.4829,44.2016,52.377,7.52545,23.4099,-28.8933,37.9406
-31.9241,15.2749,-116.925,122.164,14.7338,-22.4371,-60.6304,66.3066
4.30536,-11.1126,-10.3543,15.7876,-0.156978,4.72543,-8.12875,9.40437
-4.07338,-22.1473,-73.1193,76.5084,-1.40607,-5.50092,-15.8187,16.8072
3.38948,9.31104,-19.05,21.4732,1.79513,4.07671,-4.72122,6.49178
-16.7684,-14.9026,-20.3111,30.2626,-7.69477,-6.29953,-11.1125,14.9129
-14.062,42.5972,29.6611,53.7778,31.3952,-21.8281,67.5036,77.5814
0.328693,-49.8969,-6.89092,50.3717,2.74831,15.9483,10.4388,19.2583
19.8425,113.326,-13.8297,115.878,-51.1404,86.5478,-59.9905,117.067
-41.2638,14.0021,-32.5132,54.368,19.9303,1.19903,34.7559,40.0829
-15.5114,-1.94895,-11.1053,19.1766,7.42491,-5.0237,6.33601,10.9783
50.8746,-0.335409,7.78376,51.4679,-45.8481,-6.53549,28.0654,54.152
6.08281,45.4474,-73.6851,86.7869,-6.70858,-41.1449,-35.7295,54.9046
9.59329,-17.3686,7.13182,21.0849,5.37988,-9.37458,2.40896,11.0743
7.71793,-20.3923,-20.9127,30.212,10.1607,-0.0157391,2.70769,10.5159
-17.5566,1.56417,-45.1182,48.4391,-5.8497,9.19886,-31.9019,33.7132
30.8292,-24.9705,-3.709,39.8463,-26.435,5.2966,-46.4699,53.7245
0.645343,35.7255,-41.3683,54.6633,-0.223741,-35.2226,-33.712,48.7565
17.0659,4.31993,22.9183,28.8992,-0.351049,-10.7253,-21.473,24.0053
-2.29261,10.9016,-11.5844,16.072,-0.752574,3.66285,-4.38747,5.76575
-14.8311,-8.35784,31.9,36.1585,-12.6646,-5.77345,21.1069,25.2831
16.3762,12.0971,84.6971,87.1099,-5.53228,-8.6066,-8.68846,13.4231
-12.7943,-24.6352,-88.0399,92.3127,-5.39248,-7.06615,-25.5198,27.0237
-31.413,-13.2231,28.6109,44.4997,9.22582,11.9588,-15.1556,21.397
17.0394,-44.856,78.785,92.2468,-10.2792,30.7844,4.28217,32.7366
22.2514,2.95964,9.41376,24.3417,-13.8543,1.93349,21.8525,25.9466
-5.75506,60.5698,-73.3497,95.2996,25.5448,-21.578,10.0949,34.9294
-23.8399,-13.4653,0.176566,27.3806,17.1907,12.4188,109.638,111.671
14.2091,10.9316,21.17,27.7413,7.58235,4.26691,11.1741,14.1623
0.743395,-20.7076,14.4256,25.2481,-0.0494086,11.8917,26.0675,28.6521
-5.60961,5.1901,19.9605,21.3738,5.49075,-1.63108,25.6117,26.2446
5.665,-25.8404,20.3872,33.3986,-7.19239,11.3347,-10.4636,17.0207
-25.4027,14.0064,-159.102,161.725,0.318561,-3.53635,-15.3912,15.7958
10.9915,-13.7791,0.0559589,17.6264,0.250507,-8.40922,5.02525,9.80011
36.6039,-20.5104,30.2024,51.6983,-36.3614,14.5797,87.0567,95.4652
-78.1671,26.227,92.9051,124.215,23.2952,15.8072,55.6745,62.3875
-6.09511,-43.9048,-15.5761,46.9831,6.6589,38.1954,20.257,43.7446
-0.904443,-20.1182,-31.5509,37.4304,-6.94903,12.2607,-7.33799,15.8893
24.7231,-11.3383,-32.0772,42.0565,-21.2286,7.9633,-104.886,107.309
-13.36,29.2299,24.8372,40.6174,8.49089,-7.76801,-51.5348,52.8042
-18.6171,1.1923,6.45657,19.7412,-10.1884,2.34331,3.94604,11.1749
15.4183,-17.8999,-65.8545,69.964,14.6507,-15.932,-60.8993,64.6313
15.6667,-16.2196,15.1257,27.1536,-18.2633,4.93971,28.8841,34.529
31.6351,24.3873,55.818,68.6381,-31.8297,-22.7757,-1.13711,39.1557
-32.9345,45.9308,-15.2077,58.5286,-1.72211,-34.0442,20.2936,39.6713
3.6254,-18.1397,-0.203693,18.4998,2.9581,-17.2918,0.686653,17.5567
17.1556,-18.656,-0.197719,25.3459,-10.1602,10.9489,4.06637,15.4808
2.94752,19.2927,-29.9611,35.7572,2.33392,-11.7825,20.7677,23.9913
1.56342,18.0456,21.3824,28.0233,8.75413,6.08172,15.5672,18.8672
50.1212,17.745,-3.10338,53.2603,-22.1815,2.76502,-56.9039,61.1369
44.3454,10.4251,-72.3462,85.4937,-28.9675,-25.0439,-7.56951,39.0336
20.4234,1.69419,-1.9734,20.5886,7.17169,-5.23843,0.779124,8.91586
26.4226,-1.95331,69.7993,74.6587,7.08029,-1.99508,14.2986,16.0801
12.311,-14.4237,-11.6466,22.2544,-5.715,10.0376,-39.4767,41.132
-35.4159,32.1312,41.1306,63.0749,33.2096,-20.66,91.5765,99.579
-31.8946,-63.8313,32.0089,78.2066,25.0828,16.6604,11.795,32.3396
32.8809,-13.648,175.026,178.61,-27.1887,-0.650394,20.0488,33.7878
-19.1632,-11.1595,49.1345,53.9071,16.0207,1.06544,-5.81172,17.0759
46.793,11.5111,246.536,251.201,-42.0551,-12.3948,205.472,210.098
-17.2099,-2.9267,67.341,69.567,-9.20531,-0.337177,38.9797,40.0534
20.1236,-14.2074,-33.1672,41.3145,18.7907,-10.203,-26.5779,34.1114
1.50224,22.1813,36.2536,42.5276,-2.51794,-19.2764,15.8113,25.0585
22.3605,-18.1429,14.3658,32.1799,-16.1894,9.80203,72.1273,74.569
5.91899,28.2838,-25.7784,38.7239,5.64506,23.1426,-19.6714,30.8937
-7.75397,-0.329521,3.31438,8.43972,-3.64152,-2.41679,2.17776,4.8842
-7.8786,23.1983,-30.1392,38.841,9.25566,-12.5811,34.155,37.5569
44.998,5.70306,-29.1455,53.9149,18.0035,-0.264601,-12.9904,22.2027
-37.9903,36.3738,98.5554,111.712,23.8978,-24.8016,22.3312,41.0478
-10.0749,81.4617,120.586,145.871,19.1418,-15.8122,9.19343,26.4757
-20.3055,11.0541,-14.7485,27.4233,-7.80823,5.43863,-6.98447,11.8043
-35.3784,-25.3934,30.1881,52.9886,-12.9039,-8.80198,11.9776,19.684
-20.0429,-13.8733,82.9931,86.4989,-9.37097,-8.97221,47.8462,49.5741
-26.9453,5.72809,38.5644,47.3929,-10.9451,3.54792,18.9999,22.2124
31.8941,-0.51445,-9.09822,33.1706,-6.4634,-18.5104,78.6637,81.0703
19.0393,-49.6817,-132.591,142.868,-32.3643,21.3884,-50.5659,63.7325
-28.8828,-33.0465,-17.33,47.1871,26.1828,28.1469,-18.2677,42.5618
-32.4406,36.6452,-76.2333,90.5913,12.6984,-10.6894,-19.7011,25.7615
35.0008,-30.3802,-110.579,119.899,20.0807,-16.9792,-63.678,68.8943
-1.72064,-49.6056,49.394,70.0246,4.13708,40.2067,32.3856,51.7932
29.1853,14.4984,-87.3888,93.2673,-1.38221,-12.1488,-0.394669,12.234
-1.08636,35.5817,-44.3597,56.8773,1.0969,-34.8221,16.5699,38.5792
23.704,17.8661,-14.1275,32.8736,-9.93153,-5.66725,9.15311,14.6473
18.0586,-11.0246,79.7842,82.542,-2.42287,5.53141,0.853307,6.09968
-18.3713,-13.6819,-5.63944,23.5905,11.4307,12.4122,-17.8034,24.5295
-31.1269,-30.154,-166.335,171.888,-10.7494,-12.2749,5.96738,17.3736
48.1912,-2.04731,-175.295,181.81,-28.92,9.48392,-21.5608,37.2987
-4.28494,11.6642,-4.4334,13.1939,-4.96904,-2.51929,-21.7418,22.4445
-29.5984,22.1107,49.729,61.9511,30.3198,-19.7044,187.221,190.681
41.0347,19.69,-98.121,108.163,-36.7268,-24.6859,-112.681,121.059
-33.6589,10.2785,133.181,137.752,3.21086,-2.06169,12.8535,13.4083
-49.5785,7.76025,116.256,126.624,42.9075,3.84557,78.3168,89.3833
-0.467758,-9.47628,4.07263,10.3255,0.00968029,-3.30923,1.49265,3.63184
6.58682,5.89878,-15.2793,17.6536,-6.78994,-3.72652,4.04885,8.7404
22.4223,-17.7881,-22.7941,36.5891,-6.95699,4.38112,-22.5167,23.9709
20.0273,-41.6991,-37.9812,59.8539,-20.8876,37.4911,-26.4258,50.4005
-0.399513,19.7087,50.0902,53.8297,-4.98804,-10.1934,-27.1983,29.4711
25.7015,39.771,25.9733,54.0085,-21.1652,-38.3408,33.9063,55.3862
33.1826,-16.8697,-25.1602,44.9301,-17.1306,16.7581,2.81402,24.1293
12.79,-15.5682,107.21,109.087,2.36771,-10.3755,39.447,40.8575
15.0857,-18.7093,3.02238,24.2231,-8.93858,6.75242,12.6972,16.9329
47.8276,27.97,58.8326,80.8151,-25.9763,-24.0101,30.2033,46.5135
-20.402,-7.59649,-7.92249,23.1674,8.90651,5.37632,-38.875,40.2431
-73.2835,-40.687,8.26931,84.2276,9.4559,11.8125,36.4661,39.4808
38.1192,-8.67093,-163.119,167.738,-24.7283,-0.422423,-35.7569,43.4768
23.8714,4.87873,63.0243,67.5701,-21.9012,-5.76326,105.289,107.697
10.4673,15.4462,21.7035,28.6217,-1.24729,-8.55478,10.9901,13.9834
34.4945,20.6846,168.924,173.646,-24.409,7.91229,-10.8593,27.8628
-36.3444,0.159394,54.7293,65.6981,-11.9631,-0.040783,18.7101,22.208
-12.2671,-20.9467,-9.51005,26.0711,-4.5377,-7.83583,-3.53024,9.7193
-25.6378,41.697,-64.8883,81.28,-8.20954,0.260571,-10.1203,13.0344
8.2419,-15.166,56.5351,59.1115,-5.43198,7.84739,-0.275242,9.54855
-16.7498,-5.12387,-27.0312,32.2104,7.0672,6.39928,19.2396,21.4725
8.3343,-27.268,-31.0589,42.1624,-11.415,17.309,-27.7476,34.6388
36.4739,4.05715,-41.5757,55.4559,-35.3348,-2.93951,-170.281,173.934
-27.0833,24.8622,65.0305,74.7035,19.2472,-18.972,-14.3402,30.5949
-17.2858,39.9403,-192.081,196.95,11.1396,-33.2809,-50.2453,61.2888
8.9825,-41.9511,-182.734,187.702,5.61238,12.5458,4.92131,14.5988
-0.49213,20.7733,-65.6658,68.8752,0.242418,-4.93651,3.62328,6.12921
-9.6113,-18.009,44.9514,49.3694,8.86525,14.2156,-36.4688,40.133
-2.53882,-16.7535,-21.9514,27.7309,-1.62584,-15.4295,-23.7002,28.3271
-15.5912,-16.1884,-50.6856,55.4454,-15.9546,-12.6505,-42.0043,46.6793
43.7246,-15.5765,-4.333,46.6182,-40.4651,3.1873,-26.9223,48.7073
-17.1942,15.221,23.9483,33.179,-3.47867,-0.21767,15.101,15.4984
-3.62416,-22.6451,11.493,25.6522,-0.016854,-11.4708,5.34339,12.6547
-18.345,-7.8067,12.3247,23.4391,-7.23528,3.87494,1.07281,8.27808
-7.36946,1.97008,6.06803,9.74793,0.715416,5.05398,-10.1944,11.4014
-35.833,41.2825,-80.0703,96.9511,-5.44461,-6.17452,17.8045,19.6158
